risk_regime,moisture_profile,forecast_24h_total_mm,soil_saturation_1h_ago,fc_vwc,sat_vwc,idf_24h_mm,max_sat,risk_internal,risk_display,risk_category,base_soil_risk,storm_factor,site_sensitivity_factor,delta_risk,delta_base_soil_risk,delta_storm_factor,delta_site_sensitivity,category_changed,qc_failed,qc_used_fallback,qc_all_sensors_normal
HIGH,wet,40.0,0.8,0.36,0.48,60.91,0.82889337913012,63.130250853940225,63.130250853940225,HIGH,55.02817067388549,0.5095808804559422,0.2889337913011991,0.0,0.0,0.0,0.0,False,False,False,True
HIGH,wet,45.0,0.8,0.36,0.48,60.91,0.82889337913012,64.99476969686717,64.99476969686717,HIGH,55.02817067388549,0.6268499190843635,0.2889337913011991,1.864518842926941,0.0,0.11726903862842131,0.0,False,False,False,True
HIGH,wet,50.0,0.8,0.36,0.48,60.91,0.82889337913012,66.8592885397941,66.8592885397941,HIGH,55.02817067388549,0.7441189577127847,0.2889337913011991,3.729037685853868,0.0,0.2345380772568425,0.0,False,False,False,True
HIGH,wet,55.0,0.8,0.36,0.48,60.91,0.82889337913012,68.72380738272105,68.72380738272105,HIGH,55.02817067388549,0.8613879963412062,0.2889337913011991,5.593556528780823,0.0,0.35180711588526403,0.0,False,False,False,True
HIGH,wet,60.0,0.8,0.36,0.48,60.91,0.82889337913012,70.58832622564799,70.58832622564799,HIGH,55.02817067388549,0.9786570349696275,0.2889337913011991,7.458075371707764,0.0,0.46907615451368534,0.0,False,False,False,True
HIGH,wet,65.0,0.8,0.36,0.48,60.91,0.82889337913012,71.99529214452066,71.99529214452066,HIGH,55.02817067388549,1.0671482515186341,0.2889337913011991,8.865041290580436,0.0,0.5575673710626919,0.0,False,False,False,True
HIGH,wet,70.0,0.8,0.36,0.48,60.91,0.82889337913012,73.30045533456952,73.30045533456952,HIGH,55.02817067388549,1.149236578558529,0.2889337913011991,10.170204480629295,0.0,0.6396556981025868,0.0,False,False,False,True
HIGH,wet,75.0,0.8,0.36,0.48,60.91,0.82889337913012,74.60561852461838,74.60561852461838,HIGH,55.02817067388549,1.231324905598424,0.2889337913011991,11.475367670678153,0.0,0.7217440251424817,0.0,False,False,False,True
HIGH,wet,80.0,0.8,0.36,0.48,60.91,0.82889337913012,75.91078171466724,75.91078171466724,SEVERE,55.02817067388549,1.313413232638319,0.2889337913011991,12.780530860727012,0.0,0.8038323521823768,0.0,True,False,False,True
HIGH,wet,85.0,0.8,0.36,0.48,60.91,0.82889337913012,77.2159449047161,77.2159449047161,SEVERE,55.02817067388549,1.3955015596782139,0.2889337913011991,14.08569405077587,0.0,0.8859206792222717,0.0,True,False,False,True
